athlete_id,athlete_name,gender,age,date_of_birth,nationality,country_name,sport,event,games_type,year,host_city,team_or_individual,medal,result_value,result_unit,total_olympics_attended,total_medals_won,gold_medals,silver_medals,bronze_medals,country_total_gold,country_total_medals,country_first_participation,country_best_rank,is_record_holder,coach_name,height_cm_bad,weight_kg_bad,notes,height_cm,weight_kg
ATH-00001,Svetlana Jung,Female,19,12/4/2005,AUT,Austria,Rowing,Four W,Summer,1896,Athens,Team,No Medal,494.699,seconds,1,8,1,6,1,59,196,1896,18,No,Wei Ping,175.9,73.7,-,4.05136E-77,9.82871E-33
ATH-00002,Mary Yamamoto,Female,37,7/11/1987,MEX,Mexico,Ski Jumping,Normal Hill Team,Winter,1960,Squaw Valley,Individual,Silver,132.463,metres,4,6,0,1,5,14,72,1924,35,No,Yury Zakharevich,165.4,68.3,Olympic Debut,1.47127E-72,2.17614E-30
ATH-00003,Oksana Volkov,Female,37,2/2/1987,BUL,Bulgaria,Figure Skating,Women's Singles,Winter,1932,Lake Placid,Individual,No Medal,215.67,points,4,1,0,0,1,54,224,1896,15,No,Alberto Salazar,164.2,67.2,-,4.88479E-72,6.53749E-30
ATH-00004,Rui Suzuki,Male,32,12/8/1992,HKG,Hong Kong,Triathlon,Men's Triathlon,Summer,2012,London,Individual,No Medal,4470.383,seconds,3,4,4,0,0,3,9,1952,60,Olympic Record,Marcus O'Sullivan,190,76,First from country,3.04823E-83,9.85415E-34
ATH-00005,Natalya Grigoryan,Female,27,11/15/1997,SWE,Sweden,Triathlon,Men's Triathlon,Summer,1900,Paris,Individual,No Medal,7390.643,seconds,5,3,2,1,0,200,648,1896,4,No,John Smith,175.8,60.9,Season Best,4.47744E-77,3.56013E-27
ATH-00006,Bogdan Bekele,Male,34,2/13/1990,RSA,South Africa,Rowing,Single Sculls W,Summer,1904,St. Louis,Individual,No Medal,544.464,seconds,1,7,4,0,3,23,90,1904,30,No,Jon Drummond,195.5,86.5,Youngest competitor,1.24574E-85,2.71348E-38
ATH-00007,Monika Ito,Female,31,2/28/1993,USA,United States,Volleyball,Men's Beach Volleyball,Summer,1996,Atlanta,Team,No Medal,24.466,points,3,8,3,1,4,1061,2638,1896,1,No,Bob Bowman,200.5,86.6,-,8.39376E-88,2.45526E-38
ATH-00008,Elnur Shah,Male,41,5/8/1983,URS,Soviet Union,Alpine Skiing,Downhill M,Winter,1992,Albertville,Individual,No Medal,115.872,seconds,1,1,0,1,0,473,1122,1952,1,No,Yury Zakharevich,189.4,81.3,Disqualified (false start),5.55425E-83,4.91879E-36
ATH-00009,Natalya Mammadov,Female,39,12/23/1985,TPE,Chinese Taipei,Canoe/Kayak,K-4 500m M,Summer,2000,Sydney,Individual,No Medal,216.432,seconds,4,6,5,1,0,7,25,1956,45,Olympic Record,Bob Bowman,194.5,78.1,-,3.38628E-85,1.2067E-34
ATH-00010,Matthew Martin,Male,22,2/2/2002,NED,Netherlands,Archery,Team M,Summer,2004,Athens,Individual,Gold,254.58,points,2,3,2,1,0,121,380,1900,7,No,Arthur Lydiard,178.7,83.9,Withdrew - injury,2.46363E-78,3.65336E-37
ATH-00011,Meseret Haile,Female,29,12/2/1995,BUL,Bulgaria,Boxing,Bantamweight,Summer,1900,Paris,Individual,Gold,2.688,points,2,6,1,1,4,54,224,1896,15,No,Renato Canova,163.2,67.3,National Record,1.32782E-71,5.91536E-30
ATH-00012,Sun Mammadov,Male,41,1/3/1983,AUS,Australia,Bobsled,4-man M,Winter,1998,Nagano,Team,Bronze,48.414,seconds,4,8,7,0,1,170,554,1896,4,No,Virgilijus Alekna,197.1,78.2,Oldest medalist,2.51511E-86,1.09187E-34
ATH-00013,Michelle Popov,Female,24,4/2/2000,NZL,New Zealand,Taekwondo,-49kg W,Summer,1920,Antwerp,Individual,No Medal,1.796,points,5,0,0,0,0,46,116,1908,25,No,Li Yongbo,192,73.4,Disqualified (false start),4.12534E-84,1.32674E-32
ATH-00014,Romain Dibaba,Male,33,4/19/1991,CHN,China,Weightlifting,+109kg,Summer,2004,Athens,Individual,Gold,213.54,kg,3,1,1,0,0,263,636,1932,1,No,Tadashi Suzuki,163.2,123,-,1.32782E-71,3.8175E-54
ATH-00015,John Constantin,Male,34,10/4/1990,CUB,Cuba,Fencing,Sabre Individual M,Summer,1996,Atlanta,Individual,No Medal,4.99,touches,3,8,4,1,3,82,226,1900,8,No,Yury Zakharevich,193.7,90.2,-,7.53631E-85,6.70869E-40
ATH-00016,Jiajun Batjargal,Male,24,11/4/2000,GEO,Georgia,Fencing,Epee Individual M,Summer,2004,Athens,Team,No Medal,10.625,touches,3,1,0,1,0,7,30,1996,44,No,Andrei Socaci,183.8,83.7,Photo-finish silver,1.50201E-80,4.46223E-37
ATH-00017,Christopher Bekele,Male,41,5/2/1983,DPR,North Korea,Canoe/Kayak,K-1 200m M,Summer,2024,Paris,Individual,No Medal,308.12,seconds,2,2,2,0,0,16,54,1964,35,World Record,John Smith,188.9,82.1,-,9.1574E-83,2.21016E-36
ATH-00018,Nataliya Batjargal,Female,19,7/5/2005,GBR,Great Britain,Basketball,Men's Basketball,Summer,2000,Sydney,Team,No Medal,27.395,points,2,0,0,0,0,285,896,1896,2,No,Khristo Hristov,200,91.2,-,1.3839E-87,2.46799E-40
ATH-00019,Tigran Tanaka,Male,40,3/14/1984,HKG,Hong Kong,Basketball,Men's Basketball,Summer,2024,Paris,Team,Bronze,9.324,points,2,6,3,2,1,3,9,1952,60,No,Li Yongbo,182,117.2,Photo-finish silver,9.08666E-80,1.26092E-51
ATH-00020,Valentina Yoon,Female,22,1/22/2002,SUI,Switzerland,Archery,Individual W,Summer,1906,Athens,Individual,No Medal,296.354,points,3,4,0,2,2,70,203,1896,12,No,Gennadi Touretski,181.9,71,Disqualified (false start),1.00423E-79,1.46249E-31
ATH-00021,Sandrine Hernandez,Female,28,10/17/1996,GBR,Great Britain,Canoe/Kayak,K-1 1000m M,Summer,1896,Athens,Individual,No Medal,364.611,seconds,4,3,2,0,1,285,896,1896,2,No,Anna Tarkhanova,163.1,97,-,1.46747E-71,7.47197E-43
ATH-00022,Kamran Sanchez,Male,34,6/22/1990,DEN,Denmark,Tennis,Men's Singles,Summer,1912,Stockholm,Individual,No Medal,3.772,sets,4,4,4,0,0,66,260,1896,10,No,Tadashi Suzuki,174.4,82.9,First from country,1.81569E-76,9.93087E-37
ATH-00023,Asha Babayev,Female,41,1/10/1983,CZE,Czech Republic,Judo,Middleweight,Summer,2004,Athens,Individual,Bronze,8.144,ippon,4,5,3,1,1,32,114,1996,28,No,Anna Tarkhanova,183,74.6,Disqualified (false start),3.3428E-80,3.99606E-33
ATH-00024,Lisa Kwon,Female,36,5/8/1988,ESP,Spain,Wrestling,Freestyle 86kg,Summer,1908,London,Individual,Silver,4.73,points,5,1,0,1,0,50,170,1900,18,No,Alberto Salazar,189.4,60.8,-,5.55425E-83,3.93455E-27
ATH-00025,George Johnson,Male,39,2/25/1985,GRE,Greece,Figure Skating,Ice Dance,Winter,1992,Albertville,Individual,Bronze,232.163,points,5,8,7,0,1,34,116,1896,10,No,Tadashi Suzuki,163.2,74.7,-,1.32782E-71,3.61578E-33
ATH-00026,Camelia Kaminski,Female,20,12/28/2004,THA,Thailand,Alpine Skiing,Giant Slalom W,Winter,1988,Calgary,Individual,No Medal,167.862,seconds,2,3,2,1,0,13,35,1952,40,No,Marcus O'Sullivan,170.4,63.1,-,9.91335E-75,3.94474E-28
ATH-00027,Paolo Zhao,Male,37,4/3/1987,AUS,Australia,Wrestling,Greco-Roman 60kg,Summer,1904,St. Louis,Individual,No Medal,9.144,points,1,8,7,1,0,170,554,1896,4,No,Wei Ping,165.7,88.6,Personal Best,1.08994E-72,3.32284E-39
ATH-00028,Giulia Adeyemi,Female,42,7/18/1982,USA,United States,Figure Skating,Team Event,Winter,1992,Albertville,Individual,No Medal,210.503,points,3,3,3,0,0,1061,2638,1896,1,No,Percy Cerutty,169.4,46,-,2.69473E-74,1.05306E-20
ATH-00029,Gantulga Aliyev,Male,15,7/19/2009,MEX,Mexico,Volleyball,Men's Indoor Volleyball,Summer,2020,Tokyo,Team,Silver,10.292,points,2,6,1,3,2,14,72,1924,35,No,Vladimir Alekna,172,80.2,First from country,2.00147E-75,1.47769E-35
ATH-00030,Ekaterina Phelps,Female,30,1/24/1994,SNG,Singapore,Triathlon,Mixed Relay,Summer,2016,Rio de Janeiro,Individual,Gold,4357.571,seconds,1,5,1,0,4,1,5,1948,62,Olympic Record,Dan Pfaff,187.1,80.6,Technical violation,5.53991E-82,9.90523E-36
ATH-00031,Arsen Lee,Male,29,12/9/1995,IRI,Iran,Football (Soccer),Women's Football,Summer,1996,Atlanta,Team,Bronze,8.637,goals,1,2,0,1,1,19,60,1948,34,No,Percy Cerutty,181.5,87.9,First from country,1.49814E-79,6.69137E-39
ATH-00032,Mark Romano,Male,42,11/20/1982,AUT,Austria,Tennis,Men's Singles,Summer,1900,Paris,Individual,No Medal,1.063,sets,3,0,0,0,0,59,196,1896,18,No,Valentin Lalev,164.6,80.9,Olympic Debut,3.27437E-72,7.33798E-36
ATH-00033,Gunel Zhao,Female,28,3/24/1996,PAK,Pakistan,Luge,Men's Doubles,Winter,1976,Innsbruck,Individual,No Medal,177.46,seconds,4,8,7,1,0,10,22,1948,45,No,John Smith,187.8,82.9,Equipment issue,2.75104E-82,9.93087E-37
ATH-00034,Aurelie Wilson,Female,30,6/6/1994,IND,India,Bobsled,2-woman W,Winter,1960,Squaw Valley,Team,Bronze,49.949,seconds,5,4,2,1,1,10,35,1900,48,No,John Smith,191,83.8,Technical violation,1.12138E-83,4.03759E-37
ATH-00035,Florent Shevchenko,Male,35,12/16/1989,NGR,Nigeria,Ski Jumping,Mixed Team,Winter,1992,Albertville,Individual,No Medal,110.762,metres,4,1,1,0,0,13,32,1952,40,No,Arthur Lydiard,180.3,55.3,-,4.97399E-79,9.62754E-25
ATH-00036,Sofia Greco,Female,23,4/4/2001,MGL,Mongolia,Biathlon,Mass Start M,Winter,1976,Innsbruck,Individual,No Medal,3557.123,seconds,2,8,2,1,5,3,21,1964,52,No,Jon Drummond,186.6,68.2,Technical violation,9.13376E-82,2.40501E-30
ATH-00037,Ondrej Aliyev,Male,19,5/2/2005,CUB,Cuba,Speed Skating,500m M,Winter,1952,Oslo,Individual,No Medal,543.788,seconds,1,2,2,0,0,82,226,1900,8,No,Lauren Lynde,190.9,79.2,Equipment issue,1.23932E-83,4.01677E-35
ATH-00038,Magdalena Robinson,Female,33,11/22/1991,FRA,France,Skeleton,Men's Skeleton,Winter,1936,Garmisch-Partenkirchen,Individual,Silver,138.611,seconds,1,4,0,1,3,248,844,1896,3,No,Vladimir Alekna,179.7,78.7,-,9.0632E-79,6.62254E-35
ATH-00039,Halyna Kiros,Female,24,10/20/2000,MEX,Mexico,Figure Skating,Men's Singles,Winter,1988,Calgary,Individual,No Medal,181.286,points,3,1,0,0,1,14,72,1924,35,No,Bob Bowman,176.8,50.5,Youngest competitor,1.64716E-77,1.16985E-22
ATH-00040,Maria Moore,Female,22,5/23/2002,BLR,Belarus,Bobsled,Monobob W,Winter,2018,PyeongChang,Team,No Medal,168.011,seconds,2,7,1,5,1,24,75,1996,33,No,Alberto Salazar,197.7,109.4,Youngest competitor,1.38032E-86,3.0774E-48
ATH-00041,Elmar Martin,Male,41,3/3/1983,NED,Netherlands,Rowing,Single Sculls M,Summer,2000,Sydney,Individual,Bronze,586.242,seconds,4,5,4,0,1,121,380,1900,7,No,Valentin Lalev,178.7,92.5,Oldest medalist,2.46363E-78,6.72606E-41
ATH-00042,Anahit Gonzalez,Female,34,5/1/1990,GBR,Great Britain,Wrestling,Freestyle 65kg,Summer,2004,Athens,Individual,Bronze,9.245,points,2,1,0,0,1,285,896,1896,2,No,Andrei Chemerkin,175.4,107.1,Youngest competitor,6.67956E-77,3.06945E-47
